audio_path,species,group,source,recording_id,common_name_zh,common_name_en,scientific_name,call_type,background,site,recordist,license,start_s,end_s
audio/1-100032-A-0.wav,dog,mammal,esc-50,100032,犬,Dog,Canis lupus familiaris,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-100038-A-14.wav,chirping_birds,bird,esc-50,100038,鸣禽,Chirping birds,Aves,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-101296-A-19.wav,thunderstorm,environment,esc-50,101296,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-101296-B-19.wav,thunderstorm,environment,esc-50,101296,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-103298-A-9.wav,crow,bird,esc-50,103298,乌鸦,Crow,Corvus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-110389-A-0.wav,dog,mammal,esc-50,110389,犬,Dog,Canis lupus familiaris,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-115521-A-19.wav,thunderstorm,environment,esc-50,115521,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-121951-A-8.wav,sheep,mammal,esc-50,121951,羊,Sheep,Ovis aries,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-137296-A-16.wav,wind,environment,esc-50,137296,风声,Wind,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-15689-A-4.wav,frog,amphibian,esc-50,15689,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-15689-B-4.wav,frog,amphibian,esc-50,15689,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17150-A-12.wav,crackling_fire,environment,esc-50,17150,篝火,Crackling fire,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17367-A-10.wav,rain,environment,esc-50,17367,雨声,Rain,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17565-A-12.wav,crackling_fire,environment,esc-50,17565,篝火,Crackling fire,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17585-A-7.wav,insects,insect,esc-50,17585,昆虫（复合）,Insects,Insecta,calling_song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17742-A-12.wav,crackling_fire,environment,esc-50,17742,篝火,Crackling fire,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17808-A-12.wav,crackling_fire,environment,esc-50,17808,篝火,Crackling fire,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17808-B-12.wav,crackling_fire,environment,esc-50,17808,篝火,Crackling fire,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-17970-A-4.wav,frog,amphibian,esc-50,17970,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-18074-A-6.wav,hen,bird,esc-50,18074,母鸡,Hen,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-18074-B-6.wav,hen,bird,esc-50,18074,母鸡,Hen,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-18755-A-4.wav,frog,amphibian,esc-50,18755,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-18755-B-4.wav,frog,amphibian,esc-50,18755,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-18757-A-4.wav,frog,amphibian,esc-50,18757,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-19501-A-7.wav,insects,insect,esc-50,19501,昆虫（复合）,Insects,Insecta,calling_song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-196660-A-8.wav,sheep,mammal,esc-50,196660,羊,Sheep,Ovis aries,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-196660-B-8.wav,sheep,mammal,esc-50,196660,羊,Sheep,Ovis aries,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-21189-A-10.wav,rain,environment,esc-50,21189,雨声,Rain,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-23222-A-19.wav,thunderstorm,environment,esc-50,23222,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-23222-B-19.wav,thunderstorm,environment,esc-50,23222,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-24524-A-19.wav,thunderstorm,environment,esc-50,24524,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-24524-B-19.wav,thunderstorm,environment,esc-50,24524,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-24524-C-19.wav,thunderstorm,environment,esc-50,24524,雷暴,Thunderstorm,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-26222-A-10.wav,rain,environment,esc-50,26222,雨声,Rain,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-26806-A-1.wav,rooster,bird,esc-50,26806,公鸡,Rooster,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-27724-A-1.wav,rooster,bird,esc-50,27724,公鸡,Rooster,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-28135-A-11.wav,sea_waves,environment,esc-50,28135,海浪,Sea waves,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-28135-B-11.wav,sea_waves,environment,esc-50,28135,海浪,Sea waves,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-29532-A-16.wav,wind,environment,esc-50,29532,风声,Wind,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-29561-A-10.wav,rain,environment,esc-50,29561,雨声,Rain,,ambient,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-30226-A-0.wav,dog,mammal,esc-50,30226,犬,Dog,Canis lupus familiaris,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-30344-A-0.wav,dog,mammal,esc-50,30344,犬,Dog,Canis lupus familiaris,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-31251-A-6.wav,hen,bird,esc-50,31251,母鸡,Hen,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-31251-B-6.wav,hen,bird,esc-50,31251,母鸡,Hen,Gallus gallus domesticus,song,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-31836-A-4.wav,frog,amphibian,esc-50,31836,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-31836-B-4.wav,frog,amphibian,esc-50,31836,蛙,Frog,Anura,advertisement_call,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-32318-A-0.wav,dog,mammal,esc-50,32318,犬,Dog,Canis lupus familiaris,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-34094-A-5.wav,cat,mammal,esc-50,34094,猫,Cat,Felis catus,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
audio/1-34094-B-5.wav,cat,mammal,esc-50,34094,猫,Cat,Felis catus,vocalization,,fold1,esc-50,CC-BY-NC-3.0,0,5
